dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label
2.350845,tcp,-,FIN,224,438,12934,548216,281.17548,43820.836,1861339.1,21,197,10.540516,5.378471,3707.2195,2648.3003,255,3644439422,1499850466,255,0.000562,0.000448,0.000114,58,1252,0,0,2,1,0,0,0,0,Normal,0
0.373923,tcp,-,FIN,10,6,610,268,40.11521,11745.733,4792.4307,2,1,41.547,69.2542,2372.1204,112.856834,255,484398642,3414572483,255,0.045952,0.026873,0.019079,61,45,0,0,2,1,0,0,0,0,Normal,0
1.009986,tcp,http,FIN,14,18,1684,10168,30.693493,12388.29,76072.336,3,5,77.66184,59.381706,8766.414,7676.774,255,820539139,821505891,255,0.000608,0.000494,0.000114,120,565,1,3924,1,1,0,0,1,0,Normal,0
1.135305,tcp,-,FIN,10,8,534,354,14.973949,3389.3975,2184.4348,2,1,122.91089,146.93228,6952.261,237.11569,255,3850943753,715511092,255,0.156111,0.106774,0.049337,53,44,0,0,1,1,0,0,0,0,Normal,0
0.777654,tcp,ftp,FIN,52,54,2934,3742,135.02148,29606.998,37785.44,11,15,15.54644,14.662773,1710.517,55.394062,255,1680636398,3827051729,255,0.000646,0.000524,0.000122,56,69,0,0,2,1,1,1,0,0,Normal,0
0.163166,tcp,-,FIN,22,24,2054,2478,275.79276,96147.484,116445.83,6,6,7.753619,7.059261,480.1897,459.3056,255,2505792611,360716522,255,0.001478,0.000794,0.000684,93,103,0,0,1,1,0,0,0,0,Normal,0
0.037625,tcp,-,FIN,122,126,7818,15800,6564.784,1648691.0,3332890.5,30,32,0.315424,0.299411,21.34581,17.35343,255,4260544973,4257405791,255,0.000605,0.000492,0.000113,64,125,0,0,1,1,0,0,0,0,Normal,0
0.078562,tcp,-,FIN,60,62,3598,48710,1540.1848,360377.78,4880222.0,7,24,1.349207,1.279131,104.6812,99.75503,255,3471555278,3471845134,255,0.000647,0.000528,0.000119,60,786,0,0,1,1,0,0,0,0,Normal,0
0.004434,udp,-,CON,4,4,568,304,1578.7101,768606.25,411366.72,0,0,1.179667,0.998667,1.659817,1.403135,0,0,0,0,0.0,0.0,0.0,142,76,0,0,1,1,0,0,0,0,Normal,0
0.00102,udp,dns,CON,2,2,146,178,2941.1765,572549.06,698039.25,0,0,0.008,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,1,0,0,0,0,Normal,0
0.349747,tcp,-,FIN,28,30,4656,3080,162.97495,102702.81,68117.81,7,7,12.942075,12.042931,751.70746,19.3657,255,4139271308,4142593827,255,0.000639,0.000497,0.000142,166,103,0,0,1,1,0,0,0,0,Normal,0
0.007942,tcp,ftp-data,FIN,8,12,424,8824,2392.3445,373709.38,8148073.0,1,4,1.089143,0.677545,80.64696,37.096134,255,3135541953,3145159828,255,0.000615,0.000484,0.000131,53,735,0,0,1,1,0,0,0,0,Normal,0
0.001035,udp,dns,CON,2,2,146,178,2898.5508,564251.25,687922.75,0,0,0.006,0.002,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,1,0,0,0,0,Normal,0
0.046803,tcp,ftp-data,FIN,6,8,320,1910,277.75998,45638.098,285793.62,1,2,9.2932,6.580714,644.51056,15.654238,255,4231140177,2219337005,255,0.000873,0.000732,0.000141,53,239,0,0,1,1,0,0,0,0,Normal,0
