dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label
0.661656,tcp,http,FIN,10,10,804,1330,28.715828,8753.793,14472.777,2,2,73.517334,64.571556,4564.722,110.75701,255,4027744985,1802483418,255,0.109361,0.05091,0.058451,80,133,1,220,2,1,0,0,1,0,Normal,0
1.501572,tcp,http,FIN,60,16,68195,698,49.947655,357273.56,3489.676,27,1,25.05234,102.14314,2413.9592,128.16113,255,1501886734,1889593516,255,0.201299,0.071565,0.129734,1137,44,0,0,1,1,0,0,0,0,Normal,0
0.022939,tcp,-,FIN,40,42,2542,23508,3531.1042,864553.8,8003487.5,7,14,0.579667,0.547829,37.850544,36.773212,255,576950618,2760384187,255,0.000601,0.000475,0.000126,64,560,0,0,1,1,0,0,0,0,Normal,0
0.333839,tcp,ssh,FIN,32,24,3728,5474,164.75008,86556.695,125713.3,7,7,10.769,14.482174,646.3957,18.855139,255,1619850286,3769767619,255,0.000753,0.000625,0.000128,117,228,0,0,1,1,0,0,0,0,Normal,0
0.023857,tcp,-,FIN,50,48,3062,32538,4065.8928,1006329.44,10683992.0,7,18,0.490708,0.496894,0.0,31.69742,255,457959087,2633609025,255,0.00091,0.0005,0.00041,61,678,0,0,1,1,0,0,0,0,Normal,0
0.450403,tcp,http,FIN,10,8,792,1120,37.743977,12664.214,17406.633,2,2,50.044777,53.655,2552.5112,94.23335,255,3067692882,2963142543,255,0.15083,0.074152,0.076678,79,140,1,158,2,1,0,0,1,0,Normal,0
4e-06,udp,-,INT,2,0,1064,0,250000.0,1064000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,14,1,0,0,0,0,Normal,0
0.018879,tcp,-,FIN,40,42,2542,23508,4290.4814,1050479.4,9724668.0,7,14,0.475333,0.470359,29.377087,28.219498,255,2105964203,4280856434,255,0.000666,0.000532,0.000134,64,560,0,0,1,1,0,0,0,0,Normal,0
0.270394,tcp,-,FIN,10,6,542,268,55.474606,14438.19,6627.366,2,1,28.531334,42.2124,1473.1204,65.60829,255,1570060321,3089165182,255,0.087143,0.059323,0.02782,54,45,0,0,2,2,0,0,0,0,Normal,0
0.001009,udp,dns,CON,2,2,130,162,2973.2407,515361.75,642220.0,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,1,0,0,0,0,Normal,0
