dur,proto,service,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,tcprtt,synack,ackdat,smean,dmean,ct_src_dport_ltm,ct_dst_sport_ltm,ct_flw_http_mthd,attack_cat,label
0.661656,tcp,http,10,10,804,1330,28.715828,8753.793,14472.777,2,2,73.517334,64.571556,4564.722,110.75701,0.109361,0.05091,0.058451,80,133,2,1,1,Normal,0
1.501572,tcp,http,60,16,68195,698,49.947655,357273.56,3489.676,27,1,25.05234,102.14314,2413.9592,128.16113,0.201299,0.071565,0.129734,1137,44,1,1,0,Normal,0
0.022939,tcp,-,40,42,2542,23508,3531.1042,864553.8,8003487.5,7,14,0.579667,0.547829,37.850544,36.773212,0.000601,0.000475,0.000126,64,560,1,1,0,Normal,0
0.333839,tcp,ssh,32,24,3728,5474,164.75008,86556.695,125713.3,7,7,10.769,14.482174,646.3957,18.855139,0.000753,0.000625,0.000128,117,228,1,1,0,Normal,0
0.023857,tcp,-,50,48,3062,32538,4065.8928,1006329.44,10683992.0,7,18,0.490708,0.496894,0.0,31.69742,0.00091,0.0005,0.00041,61,678,1,1,0,Normal,0
0.450403,tcp,http,10,8,792,1120,37.743977,12664.214,17406.633,2,2,50.044777,53.655,2552.5112,94.23335,0.15083,0.074152,0.076678,79,140,2,1,1,Normal,0
4e-06,udp,-,2,0,1064,0,250000.0,1064000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,532,0,14,1,0,Normal,0
0.018879,tcp,-,40,42,2542,23508,4290.4814,1050479.4,9724668.0,7,14,0.475333,0.470359,29.377087,28.219498,0.000666,0.000532,0.000134,64,560,1,1,0,Normal,0
0.270394,tcp,-,10,6,542,268,55.474606,14438.19,6627.366,2,1,28.531334,42.2124,1473.1204,65.60829,0.087143,0.059323,0.02782,54,45,2,2,0,Normal,0
0.001009,udp,dns,2,2,130,162,2973.2407,515361.75,642220.0,0,0,0.008,0.007,0.0,0.0,0.0,0.0,0.0,65,81,2,1,0,Normal,0
0.069001,tcp,-,48,50,2958,33044,1405.7769,335879.22,3754612.5,7,18,1.461277,1.396204,81.94897,80.439674,0.000698,0.000583,0.000115,62,661,1,1,0,Normal,0
0.001035,udp,dns,2,2,146,178,2898.5508,564251.25,687922.75,0,0,0.009,0.006,0.0,0.0,0.0,0.0,0.0,73,89,1,1,0,Normal,0
0.006057,tcp,ssh,32,24,3728,5474,9080.403,4770678.5,6928843.0,7,7,0.2019,0.23087,12.584632,0.34075,0.000744,0.000617,0.000127,117,228,1,1,0,Normal,0
0.035879,tcp,-,68,70,4014,59460,3818.3894,881852.9,13068591.0,7,28,0.53091,0.512667,0.0,29.85051,0.000627,0.000501,0.000126,59,849,1,1,0,Normal,0
0.425263,tcp,-,10,6,534,268,35.27229,9048.519,4213.8633,2,1,47.239445,69.195206,2556.1663,111.03365,0.109108,0.079278,0.02983,53,45,1,1,0,Normal,0
0.95572,tcp,ftp,52,54,2934,3742,109.864815,24090.738,30745.406,11,15,18.733295,18.022207,1451.911,53.043255,0.00068,0.000539,0.000141,56,69,1,1,0,Normal,0
0.036917,tcp,-,28,42,2198,34406,1869.0576,459408.94,7278381.0,5,15,1.356,0.91125,75.13558,63.79151,0.000586,0.000464,0.000122,79,819,8,1,0,Normal,0
2.368016,tcp,http,330,746,17642,1087890,453.96652,59421.895,3670353.5,2,370,7.218595,3.177811,437.1867,269.3918,0.000639,0.000514,0.000125,53,1458,1,1,1,Normal,0
0.018053,tcp,-,16,18,1540,1644,1827.9509,639893.6,688195.8,4,4,1.182067,1.035294,72.74343,1.969613,0.000564,0.00045,0.000114,96,91,5,1,0,Normal,0
0.124312,udp,-,4,4,568,304,56.309933,27414.893,14672.759,0,0,36.340332,24.317333,51.383095,34.38283,0.0,0.0,0.0,142,76,1,1,0,Normal,0
0.693589,tcp,-,10,8,534,354,24.510195,5547.9546,3575.6047,2,1,73.282776,86.55686,4382.8677,155.76566,0.186307,0.08769,0.098617,53,44,1,1,0,Normal,0
0.004068,tcp,-,12,12,1064,2260,5653.8843,1919370.8,4074729.8,4,4,0.337818,0.315273,16.768223,0.3878,0.000739,0.000591,0.000148,89,188,1,1,0,Normal,0
0.588766,tcp,-,12,8,998,726,32.270885,12432.783,8641.804,3,2,53.52418,71.61571,2949.976,117.31327,0.090109,0.054197,0.035912,83,91,1,1,0,Normal,0
11.666516,tcp,-,8,0,360,0,0.600008,216.00278,0.0,7,0,1666.6451,0.0,3288.945,0.0,0.0,0.0,0.0,45,0,1,1,0,Normal,0
1.002805,tcp,-,14,6,8834,268,18.946854,65440.44,1786.9875,4,1,75.095535,179.9256,4974.437,299.80618,0.197516,0.103174,0.094342,631,45,1,1,0,Normal,0
1.1e-05,udp,-,2,0,1064,0,90909.09,386909100.0,0.0,0,0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,532,0,14,1,0,Normal,0
0.0,arp,-,1,0,46,0,0.0,0.0,0.0,0,0,60000.44,0.0,0.0,0.0,0.0,0.0,0.0,46,0,2,2,0,Normal,0
1.007901,tcp,http,14,18,1684,10168,30.75699,12413.918,76229.71,3,5,77.50493,59.25647,8766.759,7675.929,0.00066,0.000537,0.000123,120,565,1,1,1,Normal,0
0.019883,tcp,-,48,50,2958,33044,4878.5396,1165618.9,13029825.0,7,18,0.434178,0.403146,0.0,24.95312,0.000652,0.000529,0.000123,62,661,1,1,0,Normal,0
0.282777,tcp,-,6,2,986,86,24.754488,23255.072,1216.5062,2,1,56.5554,0.002,3538.5173,0.0,0.247786,0.137459,0.110327,164,43,3,1,0,Normal,0
9.859676,tcp,-,12,0,540,0,1.115655,401.6359,0.0,11,0,896.33417,0.0,1629.3027,0.0,0.0,0.0,0.0,45,0,2,2,0,Normal,0
0.007968,tcp,ssh,32,26,3728,5578,7153.6143,3626506.0,5385542.0,7,7,0.257032,0.26668,14.912901,0.389508,0.001323,0.001166,0.000157,117,215,1,1,0,Normal,0
1.438531,tcp,-,12,10,980,826,14.598225,4999.5444,4137.554,3,2,130.77554,146.02844,7343.607,217.65102,0.199032,0.123565,0.075467,82,83,1,1,0,Normal,0
0.003403,udp,dns,2,2,130,162,881.5751,152806.34,190420.22,0,0,0.001,0.004,0.0,0.0,0.0,0.0,0.0,65,81,1,1,0,Normal,0
0.125588,tcp,-,24,24,2158,2478,374.23956,131796.03,151288.34,6,6,5.445391,5.434087,417.29355,11.955553,0.000734,0.000595,0.000139,90,103,1,1,0,Normal,0
0.790765,tcp,-,122,126,7814,14990,312.35577,78405.09,150456.84,30,32,6.5868,6.424634,432.40314,430.4045,0.000644,0.000527,0.000117,64,119,1,1,0,Normal,0
0.016883,tcp,-,48,50,2958,32642,5745.4243,1372741.8,15158443.0,7,18,0.36013,0.333592,0.0,19.401169,0.000657,0.000533,0.000124,62,653,1,1,0,Normal,0
0.124262,udp,-,4,4,568,320,56.33259,27425.924,15451.225,0,0,36.65867,23.661,51.830456,33.456757,0.0,0.0,0.0,142,80,1,1,0,Normal,0
8e-06,tcp,-,2,0,90,0,125000.0,45000000.0,0.0,1,0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,45,0,1,1,0,Normal,0
0.001704,udp,-,4,4,544,304,4107.981,1915492.9,1070422.5,0,0,0.440333,0.220667,0.617776,0.289636,0.0,0.0,0.0,136,76,1,1,0,Normal,0
0.137088,tcp,-,16,18,1540,1644,240.72128,84267.04,90627.914,4,4,9.766714,7.999059,656.1521,16.430443,0.00123,0.001104,0.000126,96,91,3,1,0,Normal,0
